scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,problems,card,comments
HR,22,R2,2912,F,FALSE,NA,FALSE,FALSE,4,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,Did not leave AZ
RX,22,R3,11211,C,FALSE,NA,FALSE,FALSE,0,2,0,0,0,No,FALSE,6,2,FALSE,FALSE,0,No Card,"No auto, tank drive"
AD,22,B1,4638,M,FALSE,NA,FALSE,TRUE,0,1,4,0,0,L1,FALSE,"2,4",4,FALSE,FALSE,0,No Card,NA
KO,22,B2,5243,F,FALSE,NA,FALSE,TRUE,4,0,4,1,3,L1,FALSE,NA,3,FALSE,FALSE,0,No Card,Slow shooter
AZ,22,B3,2421,C,FALSE,NA,FALSE,FALSE,0,7,0,2,4,No,FALSE,2,3,FALSE,FALSE,0,No Card,NA
AW,23,R1,4464,F,FALSE,NA,FALSE,FALSE,0,3,0,0,2,No,FALSE,NA,2,FALSE,FALSE,0,No Card,"Actually moved for about half the match, for the other half kinda just rotated in one place"
HR,23,R2,7886,M,FALSE,NA,FALSE,FALSE,0,8,0,0,0,No,FALSE,"2,4,5",3,FALSE,FALSE,0,No Card,NA
RX,23,R3,1727,C,FALSE,3,FALSE,FALSE,4,4,2,1,3,No,FALSE,NA,1,TRUE,FALSE,0,No Card,"Passed to human during inactive, stopped moving in last 30 seconds"
AD,23,B1,5353,F,FALSE,NA,FALSE,FALSE,0,14,1,0,3,No,FALSE,"2,4",3,FALSE,FALSE,0,No Card,NA
AC,23,B2,6239,M,FALSE,1,FALSE,FALSE,6,6,0,3,6,No,FALSE,6,3,FALSE,FALSE,0,No Card,Stayed in front of hub auto
AZ,23,B3,5338,C,FALSE,3,FALSE,FALSE,0,6,0,3,7,No,FALSE,2,5,FALSE,FALSE,0,No Card,NA
AW,24,R1,5587,F,FALSE,1,FALSE,FALSE,20,0,4,4,0,No,FALSE,5,3,FALSE,FALSE,0,No Card,NA
HR,24,R2,5549,C,FALSE,3,FALSE,FALSE,10,2,3,5,3,No,FALSE,"2,1,6",5,FALSE,TRUE,0,No Card,NA
RX,24,R3,2900,F,FALSE,NA,FALSE,FALSE,7,4,0,0,6,No,FALSE,6,3,FALSE,FALSE,0,No Card,NA
AD,24,B1,4821,F,FALSE,NA,FALSE,FALSE,0,0,2,0,0,No,FALSE,4,3,FALSE,FALSE,0,No Card,Only played defense in oz
AC,24,B2,1389,C,FALSE,1,FALSE,FALSE,2,0,2,2,6,No,FALSE,6,2,FALSE,FALSE,0,No Card,"Didn»t intake full for most of the match, stayed in AZ for most of the match, sometimes legit just intook three balls and shot them without getting more"
