"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"5813","Morpheus","71","204.9","1751","1929","32.7","123","49.2","0.68","0.28","-0.34","2026dal","Daly Division","8","41-20-1","0.669"
"7426","PAIR OF DICE ROBOTICS","72","204.8","1751","1929","37.8","106.3","60.7","0.58","0.33","-0.34","2026mil","Milstein Division","8","46-12-0","0.793"
"1918","Newaygo County GEARS","73","204","1750","1927","33.8","121.8","48.4","0.73","0.59","-0.34","N/A","N/A","N/A","38-11-0","0.776"
"4028","The Beak Squad","74","203.9","1750","1926","43.1","108.3","52.5","0.47","0.42","-0.34","2026dal","Daly Division","8","31-11-0","0.738"
"6328","Mechanical Advantage","75","203.8","1750","1926","59.2","107.4","37.3","0.56","0.4","-0.34","2026hop","Hopper Division","8","51-13-0","0.797"
"67","The HOT Team","76","203","1748","1924","43.8","111.5","47.7","0.5","0.35","-0.34","2026joh","Johnson Division","8","47-17-1","0.731"
"4089","Stealth Robotics","77","202.8","1748","1923","41","109.7","52","0.5","0.3","-0.34","2026mil","Milstein Division","8","43-21-0","0.672"
"4237","Team Lance-A-Bot","78","202.6","1748","1923","40","121.3","41.3","0.61","0.39","-0.34","N/A","N/A","N/A","52-16-0","0.765"
"4698","Raider Robotics","79","202.5","1747","1923","48.8","104.9","48.9","0.6","0.25","-0.34","2026hop","Hopper Division","8","36-25-0","0.590"
"3255","SuperNURDs","80","202.3","1747","1922","40.5","105.3","56.5","0.61","0.17","-0.34","2026joh","Johnson Division","8","37-23-0","0.617"
"5940","BREAD","81","202.1","1747","1921","42.2","94.7","65.2","0.68","0.4","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","57-13-0","0.814"
"3538","RoboJackets","82","200.3","1744","1917","39.2","115","46.1","0.52","0.36","-0.34","2026dal","Daly Division","8","53-17-0","0.757"
"10131","Royal Turtles","83","199.9","1743","1915","31.1","115.7","53","0.59","0.31","-0.34","2026hop","Hopper Division","8","36-13-0","0.735"
"176","Aces High","84","199.2","1742","1914","51.7","109","38.5","0.57","0.29","-0.34","2026dal","Daly Division","8","49-15-0","0.766"
"2106","The Junkyard Dogs","85","198.5","1741","1912","43","117.1","38.4","0.68","0.35","-0.34","2026arc","Archimedes Division","8","49-13-1","0.786"
"2813","Gear Heads","86","198.2","1741","1911","43.6","98.8","55.8","0.35","0.24","-0.34","2026gal","Galileo Division","8","38-22-0","0.633"
"1156","Under Control","87","197.8","1740","1910","40","112.6","45.3","0.56","0.07","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","48-12-0","0.800"
"5895","Peddie Robotics","88","197.4","1739","1909","44.6","107.4","45.4","0.38","0.37","-0.34","2026gal","Galileo Division","8","43-16-1","0.725"
"5987","Galaxia in memory of David ...","89","197.1","1739","1908","32.3","107.4","57.3","0.31","0.55","-0.34","2026cur","Curie Division","8","6-6-0","0.500"
"1868","Space Cookies","90","197","1739","1908","47.7","98.7","50.6","0.46","0.39","-0.34","2026arc","Archimedes Division","8","30-29-0","0.508"
"4646","Wildcard Robotics","91","196.9","1738","1908","38.8","102.2","56","0.6","-0.05","-0.34","2026arc","Archimedes Division","8","30-12-0","0.714"
"180","S.P.A.M.","92","196.9","1738","1907","54.2","104.1","38.6","0.63","0.13","-0.34","2026new","Newton Division","8","35-10-1","0.772"
"948","NRG (Newport Robotics Group)","93","196.9","1738","1907","42.4","107","47.5","0.48","0.37","-0.34","2026new","Newton Division","8","44-20-0","0.688"
"5406","Celt-X","94","196.5","1738","1906","34.6","119.9","42","0.55","0.29","-0.34","2026hop","Hopper Division","8","45-15-0","0.750"
"610","Crescent Coyotes","95","196","1737","1905","35.9","110","50.2","0.64","0.27","-0.34","N/A","N/A","N/A","45-20-0","0.692"
"10021","Guerin Catholic Golden Gears","96","195.9","1737","1905","36.9","102.8","56.3","0.57","0.19","-0.34","2026arc","Archimedes Division","8","48-21-0","0.696"
"6036","Peninsula Robotics","97","195.8","1737","1905","38.6","111.6","45.6","0.68","0.32","-0.34","2026new","Newton Division","8","46-19-0","0.708"
"971","Spartan Robotics","98","195.6","1736","1904","30.1","114","51.5","0.51","0.27","-0.34","2026arc","Archimedes Division","8","36-28-0","0.563"
"2539","Krypton Cougars","99","195.3","1736","1903","41.9","101.4","52.1","0.57","0.32","-0.34","2026arc","Archimedes Division","8","43-20-1","0.680"
"117","Steel Dragons","100","194.9","1735","1902","28.7","115.7","50.5","0.54","0.18","-0.34","2026joh","Johnson Division","8","23-15-0","0.605"
"1296","Full Metal Jackets","101","194.6","1735","1901","38.8","101.1","54.7","0.59","0.2","-0.34","2026hop","Hopper Division","8","40-21-0","0.656"
"341","Miss Daisy","102","194.3","1734","1901","35.5","117.7","41.1","0.69","0.26","-0.34","2026new","Newton Division","8","52-9-0","0.852"
"3256","WarriorBorgs","103","194.3","1734","1901","49.6","104.1","40.6","0.45","0.52","-0.34","2026new","Newton Division","8","42-24-0","0.636"
"6647","PrepaTec - VOLTEC","104","193.5","1733","1899","40.1","107.3","46.2","0.44","0.36","-0.34","2026new","Newton Division","8","40-19-0","0.678"
"870","TEAM  R. I. C. E.","105","193.3","1733","1898","48.5","98.6","46.2","0.54","0.16","-0.34","2026cur","Curie Division","8","30-11-0","0.732"
"599","The Robodox","106","192.8","1732","1897","38.8","112.4","41.6","0.57","0.52","-0.34","2026new","Newton Division","8","41-18-0","0.695"
